nohup: ignoring input
original problem has 3648 variables (192 bin, 0 int, 0 impl, 3456 cont) and 3312 constraints
original problem has 842 variables (421 bin, 0 int, 0 impl, 421 cont) and 479 constraints
original problem has 2728 variables (1364 bin, 0 int, 0 impl, 1364 cont) and 1442 constraints
original problem has 8904 variables (8904 bin, 0 int, 0 impl, 0 cont) and 1069 constraints
original problem has 7195 variables (7195 bin, 0 int, 0 impl, 0 cont) and 714 constraints
original problem has 6000 variables (6000 bin, 0 int, 0 impl, 0 cont) and 2171 constraints
original problem has 13873 variables (552 bin, 0 int, 0 impl, 13321 cont) and 3215 constraints
original problem has 521 variables (56 bin, 0 int, 0 impl, 465 cont) and 688 constraints
original problem has 67732 variables (67732 bin, 0 int, 0 impl, 0 cont) and 656 constraints
original problem has 63009 variables (63009 bin, 0 int, 0 impl, 0 cont) and 507 constraints
original problem has 1298 variables (1254 bin, 0 int, 0 impl, 44 cont) and 353 constraints
original problem has 322 variables (302 bin, 0 int, 0 impl, 20 cont) and 394 constraints
original problem has 2993 variables (2993 bin, 0 int, 0 impl, 0 cont) and 102 constraints
original problem has 1156 variables (1089 bin, 0 int, 0 impl, 67 cont) and 2178 constraints
original problem has 260 variables (259 bin, 0 int, 0 impl, 1 cont) and 224 constraints
