nohup: ignoring input
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
